date,series_id,value,series_description,frequency,frequency_description,units,units_description,project
2005-02-12,ICSA,308000,Initial Claims,w,weekly,lin,level,dashboard
2005-02-19,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2005-02-26,ICSA,314000,Initial Claims,w,weekly,lin,level,dashboard
2005-03-05,ICSA,333000,Initial Claims,w,weekly,lin,level,dashboard
2005-03-12,ICSA,324000,Initial Claims,w,weekly,lin,level,dashboard
2005-03-19,ICSA,329000,Initial Claims,w,weekly,lin,level,dashboard
2005-03-26,ICSA,342000,Initial Claims,w,weekly,lin,level,dashboard
2005-04-02,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2005-04-09,ICSA,323000,Initial Claims,w,weekly,lin,level,dashboard
2005-04-16,ICSA,307000,Initial Claims,w,weekly,lin,level,dashboard
2005-04-23,ICSA,317000,Initial Claims,w,weekly,lin,level,dashboard
2005-04-30,ICSA,334000,Initial Claims,w,weekly,lin,level,dashboard
2005-05-07,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2005-05-14,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2005-05-21,ICSA,320000,Initial Claims,w,weekly,lin,level,dashboard
2005-05-28,ICSA,340000,Initial Claims,w,weekly,lin,level,dashboard
2005-06-04,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2005-06-11,ICSA,333000,Initial Claims,w,weekly,lin,level,dashboard
2005-06-18,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2005-06-25,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2005-07-02,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2005-07-09,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2005-07-16,ICSA,323000,Initial Claims,w,weekly,lin,level,dashboard
2005-07-23,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2005-07-30,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2005-08-06,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2005-08-13,ICSA,319000,Initial Claims,w,weekly,lin,level,dashboard
2005-08-20,ICSA,315000,Initial Claims,w,weekly,lin,level,dashboard
2005-08-27,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2005-09-03,ICSA,326000,Initial Claims,w,weekly,lin,level,dashboard
2005-09-10,ICSA,422000,Initial Claims,w,weekly,lin,level,dashboard
2005-09-17,ICSA,424000,Initial Claims,w,weekly,lin,level,dashboard
2005-09-24,ICSA,359000,Initial Claims,w,weekly,lin,level,dashboard
2005-10-01,ICSA,384000,Initial Claims,w,weekly,lin,level,dashboard
2005-10-08,ICSA,383000,Initial Claims,w,weekly,lin,level,dashboard
2005-10-15,ICSA,348000,Initial Claims,w,weekly,lin,level,dashboard
2005-10-22,ICSA,324000,Initial Claims,w,weekly,lin,level,dashboard
2005-10-29,ICSA,322000,Initial Claims,w,weekly,lin,level,dashboard
2005-11-05,ICSA,325000,Initial Claims,w,weekly,lin,level,dashboard
2005-11-12,ICSA,309000,Initial Claims,w,weekly,lin,level,dashboard
2005-11-19,ICSA,324000,Initial Claims,w,weekly,lin,level,dashboard
2005-11-26,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2005-12-03,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2005-12-10,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2005-12-17,ICSA,312000,Initial Claims,w,weekly,lin,level,dashboard
2005-12-24,ICSA,320000,Initial Claims,w,weekly,lin,level,dashboard
2005-12-31,ICSA,302000,Initial Claims,w,weekly,lin,level,dashboard
2006-01-07,ICSA,326000,Initial Claims,w,weekly,lin,level,dashboard
2006-01-14,ICSA,285000,Initial Claims,w,weekly,lin,level,dashboard
2006-01-21,ICSA,290000,Initial Claims,w,weekly,lin,level,dashboard
2006-01-28,ICSA,282000,Initial Claims,w,weekly,lin,level,dashboard
2006-02-04,ICSA,289000,Initial Claims,w,weekly,lin,level,dashboard
2006-02-11,ICSA,298000,Initial Claims,w,weekly,lin,level,dashboard
2006-02-18,ICSA,283000,Initial Claims,w,weekly,lin,level,dashboard
2006-02-25,ICSA,293000,Initial Claims,w,weekly,lin,level,dashboard
2006-03-04,ICSA,302000,Initial Claims,w,weekly,lin,level,dashboard
2006-03-11,ICSA,307000,Initial Claims,w,weekly,lin,level,dashboard
2006-03-18,ICSA,303000,Initial Claims,w,weekly,lin,level,dashboard
2006-03-25,ICSA,295000,Initial Claims,w,weekly,lin,level,dashboard
2006-04-01,ICSA,291000,Initial Claims,w,weekly,lin,level,dashboard
2006-04-08,ICSA,299000,Initial Claims,w,weekly,lin,level,dashboard
2006-04-15,ICSA,299000,Initial Claims,w,weekly,lin,level,dashboard
2006-04-22,ICSA,308000,Initial Claims,w,weekly,lin,level,dashboard
2006-04-29,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2006-05-06,ICSA,347000,Initial Claims,w,weekly,lin,level,dashboard
2006-05-13,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2006-05-20,ICSA,319000,Initial Claims,w,weekly,lin,level,dashboard
2006-05-27,ICSA,330000,Initial Claims,w,weekly,lin,level,dashboard
2006-06-03,ICSA,307000,Initial Claims,w,weekly,lin,level,dashboard
2006-06-10,ICSA,298000,Initial Claims,w,weekly,lin,level,dashboard
2006-06-17,ICSA,308000,Initial Claims,w,weekly,lin,level,dashboard
2006-06-24,ICSA,309000,Initial Claims,w,weekly,lin,level,dashboard
2006-07-01,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2006-07-08,ICSA,343000,Initial Claims,w,weekly,lin,level,dashboard
2006-07-15,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2006-07-22,ICSA,306000,Initial Claims,w,weekly,lin,level,dashboard
2006-07-29,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2006-08-05,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2006-08-12,ICSA,310000,Initial Claims,w,weekly,lin,level,dashboard
2006-08-19,ICSA,315000,Initial Claims,w,weekly,lin,level,dashboard
2006-08-26,ICSA,314000,Initial Claims,w,weekly,lin,level,dashboard
2006-09-02,ICSA,315000,Initial Claims,w,weekly,lin,level,dashboard
2006-09-09,ICSA,314000,Initial Claims,w,weekly,lin,level,dashboard
2006-09-16,ICSA,324000,Initial Claims,w,weekly,lin,level,dashboard
2006-09-23,ICSA,319000,Initial Claims,w,weekly,lin,level,dashboard
2006-09-30,ICSA,309000,Initial Claims,w,weekly,lin,level,dashboard
2006-10-07,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2006-10-14,ICSA,305000,Initial Claims,w,weekly,lin,level,dashboard
2006-10-21,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2006-10-28,ICSA,328000,Initial Claims,w,weekly,lin,level,dashboard
2006-11-04,ICSA,319000,Initial Claims,w,weekly,lin,level,dashboard
2006-11-11,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2006-11-18,ICSA,326000,Initial Claims,w,weekly,lin,level,dashboard
2006-11-25,ICSA,349000,Initial Claims,w,weekly,lin,level,dashboard
2006-12-02,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2006-12-09,ICSA,311000,Initial Claims,w,weekly,lin,level,dashboard
2006-12-16,ICSA,318000,Initial Claims,w,weekly,lin,level,dashboard
2006-12-23,ICSA,323000,Initial Claims,w,weekly,lin,level,dashboard
2006-12-30,ICSA,341000,Initial Claims,w,weekly,lin,level,dashboard
2007-01-06,ICSA,330000,Initial Claims,w,weekly,lin,level,dashboard
2007-01-13,ICSA,296000,Initial Claims,w,weekly,lin,level,dashboard
2007-01-20,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2007-01-27,ICSA,308000,Initial Claims,w,weekly,lin,level,dashboard
2007-02-03,ICSA,310000,Initial Claims,w,weekly,lin,level,dashboard
2007-02-10,ICSA,338000,Initial Claims,w,weekly,lin,level,dashboard
2007-02-17,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2007-02-24,ICSA,322000,Initial Claims,w,weekly,lin,level,dashboard
2007-03-03,ICSA,320000,Initial Claims,w,weekly,lin,level,dashboard
2007-03-10,ICSA,308000,Initial Claims,w,weekly,lin,level,dashboard
2007-03-17,ICSA,309000,Initial Claims,w,weekly,lin,level,dashboard
2007-03-24,ICSA,303000,Initial Claims,w,weekly,lin,level,dashboard
2007-03-31,ICSA,307000,Initial Claims,w,weekly,lin,level,dashboard
2007-04-07,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2007-04-14,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2007-04-21,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2007-04-28,ICSA,301000,Initial Claims,w,weekly,lin,level,dashboard
2007-05-05,ICSA,300000,Initial Claims,w,weekly,lin,level,dashboard
2007-05-12,ICSA,297000,Initial Claims,w,weekly,lin,level,dashboard
2007-05-19,ICSA,310000,Initial Claims,w,weekly,lin,level,dashboard
2007-05-26,ICSA,310000,Initial Claims,w,weekly,lin,level,dashboard
2007-06-02,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2007-06-09,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2007-06-16,ICSA,320000,Initial Claims,w,weekly,lin,level,dashboard
2007-06-23,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2007-06-30,ICSA,317000,Initial Claims,w,weekly,lin,level,dashboard
2007-07-07,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2007-07-14,ICSA,317000,Initial Claims,w,weekly,lin,level,dashboard
2007-07-21,ICSA,310000,Initial Claims,w,weekly,lin,level,dashboard
2007-07-28,ICSA,305000,Initial Claims,w,weekly,lin,level,dashboard
2007-08-04,ICSA,314000,Initial Claims,w,weekly,lin,level,dashboard
2007-08-11,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2007-08-18,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2007-08-25,ICSA,329000,Initial Claims,w,weekly,lin,level,dashboard
2007-09-01,ICSA,314000,Initial Claims,w,weekly,lin,level,dashboard
2007-09-08,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2007-09-15,ICSA,313000,Initial Claims,w,weekly,lin,level,dashboard
2007-09-22,ICSA,302000,Initial Claims,w,weekly,lin,level,dashboard
2007-09-29,ICSA,317000,Initial Claims,w,weekly,lin,level,dashboard
2007-10-06,ICSA,316000,Initial Claims,w,weekly,lin,level,dashboard
2007-10-13,ICSA,335000,Initial Claims,w,weekly,lin,level,dashboard
2007-10-20,ICSA,334000,Initial Claims,w,weekly,lin,level,dashboard
2007-10-27,ICSA,328000,Initial Claims,w,weekly,lin,level,dashboard
2007-11-03,ICSA,327000,Initial Claims,w,weekly,lin,level,dashboard
2007-11-10,ICSA,333000,Initial Claims,w,weekly,lin,level,dashboard
2007-11-17,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2007-11-24,ICSA,352000,Initial Claims,w,weekly,lin,level,dashboard
2007-12-01,ICSA,344000,Initial Claims,w,weekly,lin,level,dashboard
2007-12-08,ICSA,332000,Initial Claims,w,weekly,lin,level,dashboard
2007-12-15,ICSA,350000,Initial Claims,w,weekly,lin,level,dashboard
2007-12-22,ICSA,355000,Initial Claims,w,weekly,lin,level,dashboard
2007-12-29,ICSA,360000,Initial Claims,w,weekly,lin,level,dashboard
2008-01-05,ICSA,346000,Initial Claims,w,weekly,lin,level,dashboard
2008-01-12,ICSA,322000,Initial Claims,w,weekly,lin,level,dashboard
2008-01-19,ICSA,321000,Initial Claims,w,weekly,lin,level,dashboard
2008-01-26,ICSA,366000,Initial Claims,w,weekly,lin,level,dashboard
2008-02-02,ICSA,350000,Initial Claims,w,weekly,lin,level,dashboard
2008-02-09,ICSA,344000,Initial Claims,w,weekly,lin,level,dashboard
2008-02-16,ICSA,339000,Initial Claims,w,weekly,lin,level,dashboard
2008-02-23,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2008-03-01,ICSA,345000,Initial Claims,w,weekly,lin,level,dashboard
2008-03-08,ICSA,348000,Initial Claims,w,weekly,lin,level,dashboard
2008-03-15,ICSA,369000,Initial Claims,w,weekly,lin,level,dashboard
2008-03-22,ICSA,368000,Initial Claims,w,weekly,lin,level,dashboard
2008-03-29,ICSA,387000,Initial Claims,w,weekly,lin,level,dashboard
2008-04-05,ICSA,354000,Initial Claims,w,weekly,lin,level,dashboard
2008-04-12,ICSA,365000,Initial Claims,w,weekly,lin,level,dashboard
2008-04-19,ICSA,349000,Initial Claims,w,weekly,lin,level,dashboard
2008-04-26,ICSA,370000,Initial Claims,w,weekly,lin,level,dashboard
2008-05-03,ICSA,370000,Initial Claims,w,weekly,lin,level,dashboard
2008-05-10,ICSA,366000,Initial Claims,w,weekly,lin,level,dashboard
2008-05-17,ICSA,367000,Initial Claims,w,weekly,lin,level,dashboard
2008-05-24,ICSA,369000,Initial Claims,w,weekly,lin,level,dashboard
2008-05-31,ICSA,362000,Initial Claims,w,weekly,lin,level,dashboard
2008-06-07,ICSA,382000,Initial Claims,w,weekly,lin,level,dashboard
2008-06-14,ICSA,378000,Initial Claims,w,weekly,lin,level,dashboard
2008-06-21,ICSA,381000,Initial Claims,w,weekly,lin,level,dashboard
2008-06-28,ICSA,392000,Initial Claims,w,weekly,lin,level,dashboard
2008-07-05,ICSA,371000,Initial Claims,w,weekly,lin,level,dashboard
2008-07-12,ICSA,385000,Initial Claims,w,weekly,lin,level,dashboard
2008-07-19,ICSA,402000,Initial Claims,w,weekly,lin,level,dashboard
2008-07-26,ICSA,434000,Initial Claims,w,weekly,lin,level,dashboard
2008-08-02,ICSA,448000,Initial Claims,w,weekly,lin,level,dashboard
2008-08-09,ICSA,430000,Initial Claims,w,weekly,lin,level,dashboard
2008-08-16,ICSA,424000,Initial Claims,w,weekly,lin,level,dashboard
2008-08-23,ICSA,421000,Initial Claims,w,weekly,lin,level,dashboard
2008-08-30,ICSA,442000,Initial Claims,w,weekly,lin,level,dashboard
2008-09-06,ICSA,441000,Initial Claims,w,weekly,lin,level,dashboard
2008-09-13,ICSA,449000,Initial Claims,w,weekly,lin,level,dashboard
2008-09-20,ICSA,483000,Initial Claims,w,weekly,lin,level,dashboard
2008-09-27,ICSA,483000,Initial Claims,w,weekly,lin,level,dashboard
2008-10-04,ICSA,482000,Initial Claims,w,weekly,lin,level,dashboard
2008-10-11,ICSA,461000,Initial Claims,w,weekly,lin,level,dashboard
2008-10-18,ICSA,478000,Initial Claims,w,weekly,lin,level,dashboard
2008-10-25,ICSA,480000,Initial Claims,w,weekly,lin,level,dashboard
2008-11-01,ICSA,490000,Initial Claims,w,weekly,lin,level,dashboard
2008-11-08,ICSA,512000,Initial Claims,w,weekly,lin,level,dashboard
2008-11-15,ICSA,536000,Initial Claims,w,weekly,lin,level,dashboard
2008-11-22,ICSA,532000,Initial Claims,w,weekly,lin,level,dashboard
2008-11-29,ICSA,529000,Initial Claims,w,weekly,lin,level,dashboard
2008-12-06,ICSA,570000,Initial Claims,w,weekly,lin,level,dashboard
2008-12-13,ICSA,566000,Initial Claims,w,weekly,lin,level,dashboard
2008-12-20,ICSA,587000,Initial Claims,w,weekly,lin,level,dashboard
2008-12-27,ICSA,533000,Initial Claims,w,weekly,lin,level,dashboard
2009-01-03,ICSA,503000,Initial Claims,w,weekly,lin,level,dashboard
2009-01-10,ICSA,551000,Initial Claims,w,weekly,lin,level,dashboard
2009-01-17,ICSA,591000,Initial Claims,w,weekly,lin,level,dashboard
2009-01-24,ICSA,586000,Initial Claims,w,weekly,lin,level,dashboard
2009-01-31,ICSA,629000,Initial Claims,w,weekly,lin,level,dashboard
2009-02-07,ICSA,637000,Initial Claims,w,weekly,lin,level,dashboard
2009-02-14,ICSA,632000,Initial Claims,w,weekly,lin,level,dashboard
2009-02-21,ICSA,655000,Initial Claims,w,weekly,lin,level,dashboard
2009-02-28,ICSA,652000,Initial Claims,w,weekly,lin,level,dashboard
2009-03-07,ICSA,660000,Initial Claims,w,weekly,lin,level,dashboard
2009-03-14,ICSA,651000,Initial Claims,w,weekly,lin,level,dashboard
2009-03-21,ICSA,661000,Initial Claims,w,weekly,lin,level,dashboard
2009-03-28,ICSA,665000,Initial Claims,w,weekly,lin,level,dashboard
2009-04-04,ICSA,653000,Initial Claims,w,weekly,lin,level,dashboard
2009-04-11,ICSA,599000,Initial Claims,w,weekly,lin,level,dashboard
2009-04-18,ICSA,639000,Initial Claims,w,weekly,lin,level,dashboard
2009-04-25,ICSA,620000,Initial Claims,w,weekly,lin,level,dashboard
2009-05-02,ICSA,602000,Initial Claims,w,weekly,lin,level,dashboard
2009-05-09,ICSA,625000,Initial Claims,w,weekly,lin,level,dashboard
2009-05-16,ICSA,620000,Initial Claims,w,weekly,lin,level,dashboard
2009-05-23,ICSA,606000,Initial Claims,w,weekly,lin,level,dashboard
2009-05-30,ICSA,607000,Initial Claims,w,weekly,lin,level,dashboard
2009-06-06,ICSA,596000,Initial Claims,w,weekly,lin,level,dashboard
2009-06-13,ICSA,595000,Initial Claims,w,weekly,lin,level,dashboard
2009-06-20,ICSA,608000,Initial Claims,w,weekly,lin,level,dashboard
2009-06-27,ICSA,594000,Initial Claims,w,weekly,lin,level,dashboard
2009-07-04,ICSA,573000,Initial Claims,w,weekly,lin,level,dashboard
2009-07-11,ICSA,546000,Initial Claims,w,weekly,lin,level,dashboard
2009-07-18,ICSA,560000,Initial Claims,w,weekly,lin,level,dashboard
2009-07-25,ICSA,587000,Initial Claims,w,weekly,lin,level,dashboard
2009-08-01,ICSA,555000,Initial Claims,w,weekly,lin,level,dashboard
2009-08-08,ICSA,555000,Initial Claims,w,weekly,lin,level,dashboard
2009-08-15,ICSA,562000,Initial Claims,w,weekly,lin,level,dashboard
2009-08-22,ICSA,560000,Initial Claims,w,weekly,lin,level,dashboard
2009-08-29,ICSA,564000,Initial Claims,w,weekly,lin,level,dashboard
2009-09-05,ICSA,558000,Initial Claims,w,weekly,lin,level,dashboard
2009-09-12,ICSA,542000,Initial Claims,w,weekly,lin,level,dashboard
2009-09-19,ICSA,536000,Initial Claims,w,weekly,lin,level,dashboard
2009-09-26,ICSA,554000,Initial Claims,w,weekly,lin,level,dashboard
2009-10-03,ICSA,533000,Initial Claims,w,weekly,lin,level,dashboard
2009-10-10,ICSA,511000,Initial Claims,w,weekly,lin,level,dashboard
2009-10-17,ICSA,531000,Initial Claims,w,weekly,lin,level,dashboard
2009-10-24,ICSA,530000,Initial Claims,w,weekly,lin,level,dashboard
2009-10-31,ICSA,522000,Initial Claims,w,weekly,lin,level,dashboard
2009-11-07,ICSA,512000,Initial Claims,w,weekly,lin,level,dashboard
2009-11-14,ICSA,507000,Initial Claims,w,weekly,lin,level,dashboard
2009-11-21,ICSA,482000,Initial Claims,w,weekly,lin,level,dashboard
2009-11-28,ICSA,475000,Initial Claims,w,weekly,lin,level,dashboard
2009-12-05,ICSA,497000,Initial Claims,w,weekly,lin,level,dashboard
2009-12-12,ICSA,498000,Initial Claims,w,weekly,lin,level,dashboard
2009-12-19,ICSA,479000,Initial Claims,w,weekly,lin,level,dashboard
2009-12-26,ICSA,468000,Initial Claims,w,weekly,lin,level,dashboard
2010-01-02,ICSA,456000,Initial Claims,w,weekly,lin,level,dashboard
2010-01-09,ICSA,469000,Initial Claims,w,weekly,lin,level,dashboard
2010-01-16,ICSA,507000,Initial Claims,w,weekly,lin,level,dashboard
2010-01-23,ICSA,471000,Initial Claims,w,weekly,lin,level,dashboard
2010-01-30,ICSA,496000,Initial Claims,w,weekly,lin,level,dashboard
2010-02-06,ICSA,466000,Initial Claims,w,weekly,lin,level,dashboard
2010-02-13,ICSA,489000,Initial Claims,w,weekly,lin,level,dashboard
2010-02-20,ICSA,500000,Initial Claims,w,weekly,lin,level,dashboard
2010-02-27,ICSA,488000,Initial Claims,w,weekly,lin,level,dashboard
2010-03-06,ICSA,472000,Initial Claims,w,weekly,lin,level,dashboard
2010-03-13,ICSA,478000,Initial Claims,w,weekly,lin,level,dashboard
2010-03-20,ICSA,472000,Initial Claims,w,weekly,lin,level,dashboard
2010-03-27,ICSA,459000,Initial Claims,w,weekly,lin,level,dashboard
2010-04-03,ICSA,479000,Initial Claims,w,weekly,lin,level,dashboard
2010-04-10,ICSA,479000,Initial Claims,w,weekly,lin,level,dashboard
2010-04-17,ICSA,469000,Initial Claims,w,weekly,lin,level,dashboard
2010-04-24,ICSA,449000,Initial Claims,w,weekly,lin,level,dashboard
2010-05-01,ICSA,451000,Initial Claims,w,weekly,lin,level,dashboard
2010-05-08,ICSA,451000,Initial Claims,w,weekly,lin,level,dashboard
